system   D            wsystem.c:583  maybe_parent_dir                 [   0.00033] Also searching C:\Users\Zach\Projects\nothingSpecial\
display  D   display_settings.c:486  _al_score_display_settings       [   0.01850] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01851] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01853] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01854] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01855] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01857] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01858] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01860] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01861] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01862] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01864] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01865] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01867] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01868] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01870] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01871] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01872] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01874] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01875] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01877] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01878] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01879] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01881] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01882] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01884] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01885] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01886] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01888] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01889] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01891] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01892] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01894] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01895] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01897] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01898] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01899] Score is : 589
